,Datetime,Tweet Id,Text,Media
56,2022-02-01 18:16:26+00:00,1488576994753368073,Louisiana Gov. John Bel Edwards will meet with the Legislative Black Caucus on Tuesday to discuss recent new allegations in the Ronald Greene case https://t.co/me1yTgTwFP,CNN
57,2022-02-01 18:15:00+00:00,1488576632675835906,"In France, some lawmakers are pushing for the hijab to be banned in sporting competitions. One group of soccer-playing women in Paris is taking a stand. CNN's Nada Bashir reports from Paris https://t.co/yKTrglRYSz https://t.co/0ZrRhZx0Ht",CNN
58,2022-02-01 18:04:13+00:00,1488573921083498499,"Another top aide to former Vice President Pence, Greg Jacob, is meeting with the January 6 committee
https://t.co/pyIEOaoLRS",CNN
59,2022-02-01 18:00:01+00:00,1488572864542359552,"US Hockey star Abby Roque talks about her unconventional path to Beijing, growing up as an indigenous person and playing hockey

""I want to diversify hockey as a sport because it really is a very White sport, and we want to change that"" she tells CNN Sport https://t.co/VgjGlR0yAe https://t.co/61t9cCSSkC",CNN
60,2022-02-01 17:58:12+00:00,1488572407476535302,"The announcement will end 18 months of market research for the team, which ditched its previous name under growing pressure in July 2020 because of its racist connotations https://t.co/asIG3AjmzU",CNN
61,2022-02-01 17:47:20+00:00,1488569670991028226,"President Vladimir Putin says Russia's concerns had been ""ignored"" by the US and NATO in rare public remarks on the Ukraine crisis
https://t.co/rl9QoMl6vj",CNN
62,2022-02-01 17:45:00+00:00,1488569082546851846,"Aston Martin announced the release a new version of its luxury SUV, the DBX707, that can go from zero to 60 mph in 3.1 seconds. And with everything it packs under the hood, it comes with no small price tag https://t.co/icr6MUnWXn https://t.co/SpuAHFDTMI",CNN
63,2022-02-01 17:33:43+00:00,1488566242789281796,"Pfizer is expected to seek authorization from the US Food and Drug Administration as soon as today for its Covid-19 vaccine for children age 6 months up to 5 years, a person familiar with the plan says https://t.co/A6320nISzI",CNN
64,2022-02-01 17:30:00+00:00,1488565310055534595,"In an interview with Anderson Cooper, former Washington, DC, police officer Michael Fanone discusses former President Donald Trump encouraging protests against law enforcement https://t.co/fT9x566fPS https://t.co/Orp1K3GbNM",CNN
65,2022-02-01 17:26:07+00:00,1488564330572488706,CNN's Arwa Damon reports on one of the harshest winters to hit Syria in decades and how displaced communities are struggling to survive it https://t.co/s6ubCWfJrv https://t.co/OraIJB7bTZ,CNN
66,2022-02-01 17:15:13+00:00,1488561587476652038,"Listen to the CNN 5 Things podcast for the latest on these top stories and more: 

✔️ Covid-19 vaccines for kids under 5 could come soon 
✔️ US Secretary of State call on Ukraine border tension 
✔️ Tom Brady's official announcement

https://t.co/kooxic0LCS",CNN
67,2022-02-01 17:15:00+00:00,1488561532891926530,NFL great Tom Brady officially announced he is retiring in an Instagram post after earlier reports that he was stepping away from the game. The seven-time Super Bowl winner spent 20 seasons with the New England Patriots before going to the Tampa Bay https://t.co/Fbu8DN9M2I https://t.co/72dj0VJKi7,CNN
68,2022-02-01 17:06:59+00:00,1488559515167596551,A record number of workers quit their jobs in 2021 while US employers had more positions to fill than ever before https://t.co/9v7eJFMqib,CNN
69,2022-02-01 17:00:02+00:00,1488557768227262466,"Best friends AJ Vanover and George ""Rash"" Adams were once making $35,000 a year working together at a battery store in rural Missouri. But a bet on GameStop last year changed their lives. So what happens after you strike market gold? Jon Sarlin reports https://t.co/fT9x566fPS https://t.co/NLdCEIHPuY",CNN
70,2022-02-01 16:48:33+00:00,1488554877273915401,"In 2021, ExxonMobil posted its largest profit in seven years, as soaring energy prices added more than $100 billion in revenue to the company's top line https://t.co/F0oSWyGb0G",CNN
